Month,Quarter,Date,Category,Vendor,Amount,Notes,Receipt Image,Receipt File
9,Q3,9/26/2025,Contractors,Kevin Powers,600,Web development contractor ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/7L6DTHgn3j8KykYxDaxy.jpg,
9,Q3,9/19/2025,Software,Delta,9.95,WiFi for working on plane,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/fOg8YFTE9xySaiGgaGrO.jpg,
10,Q4,10/1/2025,Software,Zoom,118.09,Zoom subscription for client meetings,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/Xpvd8gABpa58SZ3wFSTB.jpg,
10,Q4,10/1/2025,Meals,Green Lantern,9.77,Team Women networking breakfast ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/tShRFFWNkWEWg6pHixpK.jpg,
10,Q4,10/6/2025,Contractors,Kevin Powers,300,Contractor support for website development ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/Hu5Mx6wCdUC8HmLIRDDE.jpg,
10,Q4,10/23/2025,Contractors,Kevin Powers ,250,Client work contracted out,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/ZtDI2KDKo8mGaoJPdT0r.jpg,
11,Q4,11/4/2025,Contractors,Kevin Powers ,60,Contractor work,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/yZ3WeMbXk1zPyICEfW7S.jpg,
10,Q4,10/14/2025,Insurance,Erie Insurance ,1395,Car Insurance,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/lUvtycgxxjuMgIXkBjaT.jpg,
10,Q4,10/10/2025,Utilities,MG&E,112.38,Oct. Electric bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/DPKKmMEiGMbhzK7aZ9AY.jpg,
10,Q4,10/8/2025,Software,Google,1.99,Google storage,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/HNtVhcDdEHfZxqNpCIxq.jpg,
10,Q4,10/8/2025,Repair & Maintenance,Madison Green Team,189.9,Lawn Maintenance ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/47oRzWuWeJ2h7XUrl8Cw.jpg,
10,Q4,10/8/2025,Utilities,Madison Municipal Services ,75.34,Oct Water bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/mD0JLbyhaWWxx20tpgaA.jpg,
9,Q3,9/12/2025,Meals,Barriques ,7.28,Coffee meeting with client (Stacey),https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/QG2O8gCeXgFxWtn2OcEH.jpg,
12,Q4,12/28/2025,Contractors,Kevin Powers,200,Contractor work,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/ndU9xddgE12GGBhfEPSR.jpg,
11,Q4,11/10/2025,Utilities,Madison Municipal Services,79.72,Nov water bill - 15%,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/Wio7Ortru3lxe2KfcU7x.jpg,
11,Q4,11/7/2025,Software,Google,1.99,Google storage,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/KFyoHcNdlLL9UAH6h3Qe.jpg,
11,Q4,11/2/2025,Utilities,Spectrum,59.99,Internet,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/EhO2wJR19VesNUg1xqBN.jpg,
11,Q4,11/11/2025,Travel,Delta,9.95,Wifi on the plane for working,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/5mnZ8Zkhak02cPQa9ukt.jpg,
10,Q4,10/14/2025,Insurance,Erie insurance ,232,Renters insurance - 15%,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/t7SnfJ6VEDqN03MmFVQQ.jpg,
12,Q4,12/7/2025,Software,Google,1.99,Google storage,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/YMNhravwG5RoBnxzmHiQ.jpg,
12,Q4,12/8/2025,Utilities,Madison Municipal Services,86.12,Water bill - 15%,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/0wyUsVlfZlOKfZWrbAK7.jpg,
12,Q4,12/8/2025,Utilities,MG&E,264.76,Electric bill - 15%,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/mXYyisT20mAuzd9QgZlT.jpg,
12,Q4,12/11/2025,Software,Anthropic,200,Claude AI,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/hrpNKx7nkDCHdxkR5I37.jpg,
12,Q4,12/4/2025,Equipment,Home depot,40.06,Coax mapper for home office wifi setup ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/agUjqunx3UPopX6Qpi0O.jpg,
